DataHora,Jogador,Categoria,Ano_Temporada,Competicao,Colunas_Metricas,Valores
2026-09-15T12:31:20.524Z,Thauan Lara,Defendendo,2023,Total do Ano,MP | CLS | YC | RC | ELTG | DRP | TACK | INT | BLS | ADW,19 | 0 | 2 | 0 | 0 | 9 | 12 | 10 | 4 | 12
2026-09-15T12:31:20.585Z,Thauan Lara,Defendendo,2023,Brasileirão Betano,MP | CLS | YC | RC | ELTG | DRP | TACK | INT | BLS | ADW,10 | 0 | 1 | 0 | 0 | 5 | 7 | 4 | 2 | 4
2026-09-15T12:31:20.633Z,Thauan Lara,Defendendo,2023,CONMEBOL Libertadores,MP | CLS | YC | RC | ELTG | DRP | TACK | INT | BLS | ADW,3 | 0 | 0 | 0 | 0 | 2 | 2 | 1 | 1 | 4
2026-09-15T12:31:20.715Z,Thauan Lara,Defendendo,2023,Copa Betano do Brasil,MP | CLS | YC | RC | ELTG | DRP | TACK | INT | BLS | ADW,2 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | - | -
2026-09-15T12:31:20.766Z,Thauan Lara,Defendendo,2023,Gaúcho,MP | CLS | YC | RC | ELTG | DRP | TACK | INT | BLS | ADW,4 | 0 | 0 | 0 | 0 | 1 | 2 | 5 | 1 | 4
2026-09-15T12:31:20.832Z,Thauan Lara,Defendendo,2022,Total do Ano,MP | CLS | YC | RC | ELTG | DRP | TACK | INT | BLS | ADW,7 | 1 | 2 | 0 | 0 | 0 | 8 | 4 | - | 5
2026-09-15T12:31:20.890Z,Thauan Lara,Defendendo,2022,Brasileirão Betano,MP | CLS | YC | RC | ELTG | DRP | TACK | INT | BLS | ADW,7 | 1 | 2 | 0 | 0 | 0 | 8 | 4 | - | 5
2026-09-15T12:31:20.953Z,Thauan Lara,Defendendo,2021,Total do Ano,MP | CLS | YC | RC | ELTG | DRP | TACK | INT | BLS | ADW,1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | - | -
2026-09-15T12:31:21.299Z,Thauan Lara,Defendendo,2021,Brasileirão Betano,MP | CLS | YC | RC | ELTG | DRP | TACK | INT | BLS | ADW,1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | - | -
2026-09-15T12:31:22.215Z,Thauan Lara,Adicional,25/26,Total do Ano,MP | GLS | XG | AST | XA | GI | XGI,21 | 2 | - | 3 | - | 5 | -
